#{"t_start": 1772701155.793533, "env_id": "None"}
r,l,t
1118.0,2000,3521.953341
1234.0,2000,3521.953341
1212.0,2000,3521.953341
1234.0,2000,3558.654558
1248.0,2000,3558.655563
1238.0,2000,3558.655563
1284.0,2000,3558.655563
1270.0,2000,3594.24246
1288.0,2000,3594.24246
1274.0,2000,3594.24246
1262.0,2000,3594.24246
1258.0,2000,3629.705787
1224.0,2000,3629.706787
1308.0,2000,3629.706787
1266.0,2000,3629.706787
1276.0,2000,3666.069355
1206.0,2000,3666.069355
1264.0,2000,3666.069355
1260.0,2000,3666.069355
1156.0,2000,3701.808583
1308.0,2000,3701.808583
1278.0,2000,3701.808583
1196.0,2000,3701.810065
1312.0,2000,3737.146647
1214.0,2000,3737.146647
1150.0,2000,3737.146647
1296.0,2000,3737.146647
1214.0,2000,3773.013529
1320.0,2000,3773.013529
1244.0,2000,3773.013529
1180.0,2000,3773.013529
1350.0,2000,3809.722168
1216.0,2000,3809.722168
1278.0,2000,3809.722168
1292.0,2000,3809.722168
1202.0,2000,3846.801962
1250.0,2000,3846.801962
1150.0,2000,3846.801962
1342.0,2000,3846.801962
1278.0,2000,3882.830541
1340.0,2000,3882.830541
1250.0,2000,3882.830541
1324.0,2000,3882.830541
1254.0,2000,3919.516119
1280.0,2000,3919.516119
1318.0,2000,3919.516119
1332.0,2000,3919.516119
1224.0,2000,3955.244286
1204.0,2000,3955.244286
1272.0,2000,3955.244286
1248.0,2000,3955.244286
1344.0,2000,3991.008012
1228.0,2000,3991.008012
1214.0,2000,3991.008012
1190.0,2000,3991.008012
1164.0,2000,4027.28226
1232.0,2000,4027.28226
1258.0,2000,4027.28226
1230.0,2000,4027.28226
1250.0,2000,4063.416718
1214.0,2000,4063.416718
1272.0,2000,4063.416718
1284.0,2000,4063.416718
1242.0,2000,4098.824297
1224.0,2000,4098.824297
1260.0,2000,4098.824297
1312.0,2000,4098.824297
1172.0,2000,4134.850513
1262.0,2000,4134.850513
1288.0,2000,4134.850513
1360.0,2000,4134.850513
1222.0,2000,4171.854944
1230.0,2000,4171.855955
1250.0,2000,4171.855955
1260.0,2000,4171.855955
1334.0,2000,4208.521613
1342.0,2000,4208.521613
1320.0,2000,4208.521613
1272.0,2000,4208.522628
1398.0,2000,4244.446011
1244.0,2000,4244.446011
1300.0,2000,4244.446011
1304.0,2000,4244.446011
1198.0,2000,4281.184246
1240.0,2000,4281.184246
1240.0,2000,4281.184246
1238.0,2000,4281.184246
1318.0,2000,4316.780491
1294.0,2000,4316.780491
1236.0,2000,4316.780491
1182.0,2000,4316.780491
1256.0,2000,4352.531133
1224.0,2000,4352.532177
1258.0,2000,4352.532177
1296.0,2000,4352.532177
1174.0,2000,4388.950914
1296.0,2000,4388.950914
1268.0,2000,4388.950914
1292.0,2000,4388.950914
1216.0,2000,4424.787765
1262.0,2000,4424.788765
1260.0,2000,4424.788765
1280.0,2000,4424.788765
1128.0,2000,4460.323001
1302.0,2000,4460.323001
1352.0,2000,4460.323001
1274.0,2000,4460.323001
1328.0,2000,4496.60333
1160.0,2000,4496.60333
1212.0,2000,4496.60333
1256.0,2000,4496.60333
1192.0,2000,4533.496917
1286.0,2000,4533.496917
1226.0,2000,4533.496917
1240.0,2000,4533.496917
1362.0,2000,4570.442492
1162.0,2000,4570.442492
1220.0,2000,4570.442492
1254.0,2000,4570.442492
1244.0,2000,4606.441755
1268.0,2000,4606.441755
1210.0,2000,4606.441755
1270.0,2000,4606.441755
1240.0,2000,4641.615562
1258.0,2000,4641.615562
1260.0,2000,4641.615562
1306.0,2000,4641.615562
